name,type,breed,size,days_in_shelter,outcome_condition,is_sterilized,outcome
PINTO,DOG,PIT BULL,4,45,1,1,0
FAUNA,DOG,GERM SHEPHERD,2,3,1,1,0
REMI,DOG,RHOD RIDGEBACK/MIX,4,6,0,0,0
TIMBER,DOG,ALASK MALAMUTE,4,0,1,1,0
*ROSS,CAT,DOMESTIC SH,2,15,1,1,1
RUPI,DOG,RAT TERRIER,2,1,0,1,0
KIT,DOG,LABRADOR RETR,4,41,1,1,1
MONEY,DOG,PIT BULL,3,4,0,0,0
GAIA,DOG,CANE CORSO,4,14,0,0,0
DOBBIE,DOG,NORFOLK TERRIER/MIX,2,20,1,0,0
KITTEN 5,CAT,DOMESTIC MH,1,5,0,1,0
*EDMOND,CAT,DOMESTIC SH,1,70,1,1,1
*JOEY,CAT,DOMESTIC SH,2,15,1,1,1
XIPILLI,DOG,FRENCH BULLDOG/MIX,1,71,1,1,1
*TAZ,DOG,GERM SHEPHERD,3,73,1,1,1
*PONG,DOG,PIT BULL/MIX,2,83,1,1,0
*PIXIE,DOG,CHIHUAHUA LH/MIX,1,51,1,0,0
*PING,DOG,PIT BULL/MIX,2,83,1,1,0
*CAMINO,DOG,CHIHUAHUA SH/DACHSHUND,1,24,1,0,0
PINTO,DOG,PIT BULL,4,2,0,1,0
GRETTA,DOG,GERM SHEPHERD,4,213,1,1,1
BELLA,DOG,SHIH TZU,1,0,0,0,0
ROCKY,DOG,PIT BULL/MIX,1,2,0,0,0
*TERRI,CAT,DOMESTIC SH,2,21,1,1,1
*BUFFY,DOG,PARSON RUSS TER/CHIHUAHUA SH,1,25,1,1,1
BUDDY,DOG,SIBERIAN HUSKY,3,3,0,0,0
MUNECA,DOG,SIBERIAN HUSKY,3,3,0,0,0
COCO,DOG,SIBERIAN HUSKY,3,1,0,0,0
ESPERANZA,DOG,SCHNAUZER MIN/WELSH TERRIER,2,3,0,1,0
BOOTS,CAT,DOMESTIC SH,1,10,1,1,1
SOPHIE,DOG,SCHNAUZER MIN,2,2,0,1,0
*MILTON,DOG,PIT BULL,4,31,0,1,0
HANK,DOG,GERM SHEPHERD,3,1,0,0,0
LILA,DOG,GERM SHEPHERD/MIX,3,61,1,1,1
*CHIP,DOG,PIT BULL,3,113,1,1,1
*GATSBY,DOG,AUST CATTLE DOG,3,120,0,1,0
TAMARINDO,DOG,LABRADOR RETR/GERM SHEPHERD,3,4,0,0,0
TINKERBELL,DOG,CHIHUAHUA SH,2,1,0,0,0
COLE,DOG,FRENCH BULLDOG,2,0,0,0,0
PIPIN,DOG,CHIHUAHUA SH/PARSON RUSS TER,2,1,1,1,0
*CHLOE,DOG,CHIHUAHUA SH,2,13,0,0,0
CANELO,DOG,LABRADOR RETR,3,3,0,1,0
PIPIN,DOG,CHIHUAHUA SH/PARSON RUSS TER,2,1,0,1,0
AUSTIN,DOG,AUST CATTLE DOG/LABRADOR RETR,1,67,1,1,1
*THELMA,CAT,DOMESTIC SH,1,38,1,1,1
*DOTTIE,DOG,AUST CATTLE DOG/LABRADOR RETR,1,67,1,1,1
RYDER,DOG,PIT BULL/BULLMASTIFF,2,0,0,0,0
EMME LUE,CAT,DOMESTIC SH,1,28,1,1,1
BUCK,DOG,GERM SHEPHERD/BELG MALINOIS,4,1,0,0,0
